Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0269453553477971,4.88289151054452E-05,0.138776943804503,0,0,0,9.62557497725158,0.0836578300249299,-0.00247163484979424,0.000109124201879488,0.0555064526888553,7.6528928799148E-07,0.127512148927851,0,0,0,0,0,0,package://agx_description/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agx_description/meshes/base_link.STL,,M-RANA-471002-A-1/M-RANA-471002-1-1;M-RANA-471002-A-1/M-RANA-471002-2-1;M-RANA-471004-A-3/M-RANA-471004-2-1;M-RANA-472002-A-8;M-RANA-472002-A-6;M-RANA-471006-A-1;M-RANA-471004-A-3/M-RANA-471003-1-1;M-RANA-471001-A-1;M-RANA-473004-A-1;M-RANA-473003-A-1;M-RANA-473001-A-1;M-RANA-473002-A-1;动力电机模组-2/4.5寸单边螺纹杆有齿电机公路胎-1;动力电机模组-3/4.5寸单边螺纹杆有齿电机公路胎-1;动力电机模组-7/4.5寸单边螺纹杆有齿电机公路胎-1;动力电机模组-8/4.5寸单边螺纹杆有齿电机公路胎-1;M-RANA-472002-A-7;M-RANA-472002-A-9;M-RANA-551007-A-8;M-RANA-473010-A-2;M-RANA-551002-A-1;M-RANA-551007-A-7;M-RANA-473010-A-1;M-RANA-551003-A-1;M-RANA-472001-A-1;M-RANA-551005-A-1;驱动模块-1/M-RANA-471005-A-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
imu_link,-7.51173708920111E-05,7.51173708920406E-05,0.00149999999999999,0,0,0,0.000426,5.32909624413146E-09,-1.72403755868542E-10,-2.56308956479191E-24,5.32909624413147E-09,-1.61090078229413E-23,1.00191924882629E-08,0,0,0,0,0,0,package://agx_description/meshes/imu_link.STL,1,1,1,1,0,0,0,0,0,0,package://agx_description/meshes/imu_link.STL,,IMU-1,坐标系5,Axis_imu_joint,imu_joint,fixed,-0.00269279932190335,0.117006197251626,0.172572605714962,1.5707963267949,-1.5707963267949,0,base_link,0,0,0,,,,,,,,,,,,
front_lidar_link,-0.0024322542360638,-7.57434565393234E-06,-0.0156647798701829,0,0,0,0.0269222563572699,9.62972066845586E-06,-6.69475455049995E-10,2.48281613499449E-08,9.64981682902064E-06,-1.43263267252535E-11,1.74096865451407E-05,0,0,0,0,0,0,package://agx_description/meshes/front_lidar_link.STL,1,1,0.501960784313725,0.4,0,0,0,0,0,0,package://agx_description/meshes/front_lidar_link.STL,,s3_continue_20230605-3,坐标系2,Axis_front_lidar_joint,front_lidar_joint,fixed,0.2,-0.175,0.268,0,0,-0.78539816339746,base_link,0,0,0,,,,,,,,,,,,
back_lidar_link,-0.00243225423607701,-7.57434566700521E-06,-0.0156647798701824,0,0,0,0.0269222563572854,9.62972066845615E-06,-6.69475455080912E-10,2.4828161349934E-08,9.64981682902092E-06,-1.43263267611196E-11,1.74096865451409E-05,0,0,0,0,0,0,package://agx_description/meshes/back_lidar_link.STL,1,1,0.501960784313725,0.4,0,0,0,0,0,0,package://agx_description/meshes/back_lidar_link.STL,,s3_continue_20230605-2,坐标系3,Axis_back_lidar_joint,back_lidar_joint,fixed,-0.199999999999958,0.174999999999997,0.268,0,0,2.35619449019234,base_link,0,0,0,,,,,,,,,,,,
camera_link,-0.00781360439226064,-4.62643811109874E-05,0.00015691163838176,0,0,0,0.0189598021123256,1.09290416951151E-05,5.74101407704989E-09,-2.17154464045429E-08,1.72930174582617E-06,-8.47818936297681E-09,1.0379713403702E-05,0,0,0,0,0,0,package://agx_description/meshes/camera_link.STL,1,1,1,1,0,0,0,0,0,0,package://agx_description/meshes/camera_link.STL,,摄像头模组-2,坐标系4,Axis_camera_joint,camera_joint,fixed,0.264320690911,0,0.169753030571818,0,-0.139626340159547,0,base_link,0,0,0,,,,,,,,,,,,
steering_link1,-4.41226727665167E-05,0.0157129719167315,0.00410410320602114,0,0,0,0.935307991635668,0.00108568401565883,7.743516771268E-08,-2.33490054511026E-07,0.00106453940002428,-0.000235815859378652,0.0012538948846579,0,0,0,0,0,0,package://agx_description/meshes/steering_link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://agx_description/meshes/steering_link1.STL,,动力电机模组-3/M-RANA-551008-A-1;动力电机模组-3/M-RANA-551010-A-2;动力电机模组-3/D061-E-1,坐标系6,基准轴2,steering_joint1,continuous,0.194,0.169,0.1355,-3.14159265358979,0,0,base_link,0,0,-1,,,,,,,,,,,,
wheel_link1,2.77555756156289E-17,2.77555756156289E-17,-0.000252801407574443,0,0,0,0.741126743204084,0.000890769648192525,-5.4135978102862E-25,2.83258046844794E-20,0.000890761023713873,-4.04095046703963E-20,0.00113190510709934,0,0,0,0,0,0,package://agx_description/meshes/wheel_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agx_description/meshes/wheel_link1.STL,,动力电机模组-3/4.5寸单边螺纹杆有齿电机公路胎-1,坐标系10,基准轴1,wheel_joint1,continuous,0,0,0.0749999999999999,1.5707963267949,0,0,steering_link1,0,0,-1,,,,,,,,,,,,
steering_link2,4.41226727666E-05,-0.0157129719167314,0.00410410320602098,0,0,0,0.93530799163567,0.00108568401565883,7.74351677124048E-08,2.33490054510254E-07,0.00106453940002428,0.000235815859378651,0.0012538948846579,0,0,0,0,0,0,package://agx_description/meshes/steering_link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://agx_description/meshes/steering_link2.STL,,动力电机模组-2/M-RANA-551008-A-1;动力电机模组-2/M-RANA-551010-A-2;动力电机模组-2/D061-E-1,坐标系7,基准轴4,steering_joint2,continuous,0.194,-0.169,0.1355,3.14159265358979,0,0,base_link,0,0,-1,,,,,,,,,,,,
wheel_link2,2.77555756156289E-17,2.77555756156289E-17,0.000252801407574443,0,0,0,0.741126743204084,0.000890769648192525,2.66918709362604E-24,2.16085103308491E-20,0.000890761023713874,6.4878824945206E-20,0.00113190510709934,0,0,0,0,0,0,package://agx_description/meshes/wheel_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agx_description/meshes/wheel_link2.STL,,动力电机模组-2/4.5寸单边螺纹杆有齿电机公路胎-1,坐标系11,基准轴3,wheel_joint2,continuous,0,0,0.0749999999999999,1.5707963267949,0,0,steering_link2,0,0,-1,,,,,,,,,,,,
steering_link3,4.41226716285104E-05,-0.0157129719156636,0.0041041032048897,0,0,0,0.935307991753156,0.0010856840156653,7.74351596728921E-08,2.33490057369179E-07,0.00106453940003436,0.000235815859380944,0.00125389488467438,0,0,0,0,0,0,package://agx_description/meshes/steering_link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://agx_description/meshes/steering_link3.STL,,动力电机模组-8/M-RANA-551008-A-1;动力电机模组-8/M-RANA-551010-A-2;动力电机模组-8/D061-E-1,坐标系8,基准轴8,steering_joint3,continuous,-0.194,-0.169,0.1365,3.14159265358979,0,0,base_link,0,0,1,,,,,,,,,,,,
